Division,Total Fights_x,(T)KOs Totals,Submissions Totals,Total Decisions,No Contests Total,DQs Totals,Unknown_x,Total Fights_y,(T)KOs Percentages,Submissions Percentages,Total Decisions Percentages,No Contests Percentages,DQs Percentages,Unknown_y,Total Fight Decisions,Total Unanimous Decisions,Total Split Decisions,Total Majority Decisions,Total Draws,Total Unknown,Total Fight Decision Percentages,Total Unanimous Decision Percentages,Total Split Decision Percentages,Total Majority Decision Percentages,Total Draw Percentages,Total Unknown Percentages
Heavyweight,839,409,186,233,8,3,0,839,48.7%,22.2%,27.8%,1.0%,0.4%,0.0%,233,177,32,9,7,8,233,76.0%,13.7%,3.9%,3.0%,3.4%
Light Heavyweight,749,327,140,269,9,4,0,749,43.7%,18.7%,35.9%,1.2%,0.5%,0.0%,269,205,49,8,6,1,269,76.2%,18.2%,3.0%,2.2%,0.4%
Middleweight,1001,365,222,400,10,4,0,1001,36.5%,22.2%,40.0%,1.0%,0.4%,0.0%,400,306,86,5,3,0,400,76.5%,21.5%,1.3%,0.8%,0.0%
Welterweight,1314,416,258,624,11,5,0,1314,31.7%,19.6%,47.5%,0.8%,0.4%,0.0%,624,475,129,11,8,1,624,76.1%,20.7%,1.8%,1.3%,0.2%
Lightweight,1344,389,299,641,13,2,0,1344,28.9%,22.2%,47.7%,1.0%,0.1%,0.0%,641,486,134,10,11,0,641,75.8%,20.9%,1.6%,1.7%,0.0%
Featherweight,786,214,139,424,8,1,0,786,27.2%,17.7%,53.9%,1.0%,0.1%,0.0%,424,331,77,8,8,0,424,78.1%,18.2%,1.9%,1.9%,0.0%
Bantamweight,692,187,139,354,11,1,0,692,27.0%,20.1%,51.2%,1.6%,0.1%,0.0%,354,266,77,5,6,0,354,75.1%,21.8%,1.4%,1.7%,0.0%
Flyweight,357,87,74,193,2,1,0,357,24.4%,20.7%,54.1%,0.6%,0.3%,0.0%,193,145,45,0,3,0,193,75.1%,23.3%,0.0%,1.6%,0.0%
Women Featherweight,38,9,8,21,0,0,0,38,23.7%,21.1%,55.3%,0.0%,0.0%,0.0%,21,17,4,0,0,0,21,81.0%,19.0%,0.0%,0.0%,0.0%
Women Bantamweight,213,50,33,128,2,0,0,213,23.5%,15.5%,60.1%,0.9%,0.0%,0.0%,128,99,26,2,1,0,128,77.3%,20.3%,1.6%,0.8%,0.0%
Women Flyweight,234,40,48,146,0,0,0,234,17.1%,20.5%,62.4%,0.0%,0.0%,0.0%,146,110,32,0,4,0,146,75.3%,21.9%,0.0%,2.7%,0.0%
Women Strawweight,309,41,60,206,0,2,0,309,13.3%,19.4%,66.7%,0.0%,0.6%,0.0%,206,158,44,3,1,0,206,76.7%,21.4%,1.5%,0.5%,0.0%
